id,user_id,first_name,last_name,email,phone,phone_verified,phone_verified_at,company_id,role_in_company,joined_company_at,is_active,is_verified,profile_completed,bio,years_of_experience,specializations,certifications,notification_preferences,availability_status,auth_provider,created_at,updated_at,last_login_at,work_address,work_postal_code,work_city,work_latitude,work_longitude,service_radius_km,quotes_email,invoices_email,gender,current_step,work_country,portfolio_photos,profile_picture_url,profile_answers
0e235c1f-4693-4001-9d75-137a131741d3,1100b639-44a0-4e3c-9dfc-d122a56bb7f5,Claire,Herrera,hehu@mailinator.com,+31232131231,false,,275ddf5f-2160-439b-8bbf-8a7211eeecac,owner,2026-01-04 09:33:39.217+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-04 09:30:11.431623+00,2026-01-12 09:36:56.397587+00,2026-01-09 18:55:56.014+00,"Noordersingel 28/30, 2140 Antwerpen, Belgium",2140,Antwerpen,51.21942930,4.44839230,20,hehu@mailinator.com,hehu@mailinator.com,prefer_not_to_say,6,,[],https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/profile-pictures/0e235c1f-4693-4001-9d75-137a131741d3_07cbe94a-5be9-4c2c-a273-f9cace9ba4ff.png,{}
21426a5a-73a0-459d-8afc-b60a7fba1dba,bcf3907e-9c21-47c1-85eb-5646963e51a1,Ignacia,Ochoa,muneebchaudhry.dev@gmail.com,45654654,false,,530057ff-18a6-45af-99da-d8ffc6fe9717,owner,2025-12-10 06:24:54.216+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,google,2025-12-10 05:59:02.282531+00,2026-01-01 11:15:19.34626+00,,"Amerikaanse Begraafplaats 1, 6269 NP Margraten, Netherlands",6269 NP,Margraten,50.81774620,5.80356140,50,muneebchaudhry.dev@gmail.com,xoligu@mailinator.com,male,6,NL,[],,{}
333326a2-47ee-4327-996b-af64e3d01570,be5daa1d-e6b2-4853-b64a-1162ebbc8563,testten,test,testtest@test.nl,+31614376562,false,,4207a7c2-c466-4e6d-a644-1c7378bd8c19,owner,2026-01-07 12:43:49.275+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-07 12:42:15.959637+00,2026-01-12 13:59:26.681896+00,,"Losser, Nederland",,Losser,52.26285220,7.00578530,10,testtest@test.nl,testtest@test.nl,prefer_not_to_say,6,NL,[],,{}
33b6dd14-7c0e-4922-915c-5a67fb1b4c2e,06d8c331-d89a-49ce-9f8d-72781e26bdd4,test,test,testtest@testtest.nl,+31614376562,false,,59cf44af-9e87-42bf-885b-07206bfe2d0c,employee,2025-12-31 09:33:15.686+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-31 09:30:44.95273+00,2025-12-31 09:33:15.967418+00,,"Losser, Nederland",,Losser,52.26285220,7.00578530,20,,,,6,NL,[],,{}
365e41d4-af62-40b5-8ebc-d6e5a8e49662,0e8b8954-fe8b-478a-9336-5f162bf7d33e,Morgan,Meyer,wygi@mailinator.com,+31785685857,false,,2b1d58ae-4822-47c3-a274-b308d8f23c8f,owner,2025-12-28 18:57:24.855+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-27 14:18:38.851127+00,2025-12-30 17:29:12.630949+00,2025-12-30 15:29:45.195+00,"Texel, Netherlands",,Texel,53.07705600,4.83189260,10,,,,6,,[],,{}
3c3c6fcb-3216-4b95-97d0-138bb6d97d3d,559e64fc-b569-4552-b357-c47a5b0360ff,Acton,Solis,siqi@mailinator.com,+31435345345,false,,,,,true,unverified,false,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-02 10:18:29.568363+00,2026-01-02 10:19:19.338267+00,,"Goirkestraat 96, 5046 GN Tilburg, Netherlands",5046 GN,Tilburg,51.57085200,5.07946300,10,,,,5,NL,[],,{}
5a2c53d6-a326-4fb5-98dd-48db208111e8,a3728e50-8c92-47ed-9084-fe748756a76a,tes,tes,test22@gmail.com,+31363434544,false,,071aad06-45b1-4fb9-82a3-4d30e74b692c,employee,2025-12-11 21:49:21.036+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-11 16:56:56.560642+00,2025-12-12 04:03:01.048768+00,,"6269 Margraten, Netherlands",6269,Margraten,50.82121050,5.80513760,50,,,,5,NL,"[""https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/portfolio/5a2c53d6-a326-4fb5-98dd-48db208111e8_5a077913-5217-4bbd-ada6-b47b2c7e9abb.png""]",,{}
6e5f2675-faf0-489a-bad1-a5ab88bf6d42,ba8d1791-a2da-4701-9710-72ca3293ddae,Lois,Gentry,bupakavyv@mailinator.com,+31487997889,false,,4207a7c2-c466-4e6d-a644-1c7378bd8c19,owner,2026-01-03 05:58:24.252+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-03 05:53:55.453284+00,2026-01-03 05:58:25.464442+00,,"Texel, Netherlands",,Texel,53.07705600,4.83189260,10,,,,6,NL,[],,{}
74a8a170-1f8d-4b8a-aa4f-408b75f727ec,379a3e99-6afa-481a-a579-34fbdbbd375d,Muneeb,Ahmad,muneebahmad5115@gmail.com,+92300089423,false,,071aad06-45b1-4fb9-82a3-4d30e74b692c,employee,2025-12-10 07:49:36.265+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,google,2025-12-10 07:45:49.880844+00,2025-12-12 07:02:23.708827+00,,"Texel, Netherlands",,Texel,53.07705600,4.83189260,50,muneebahmad5115@gmail.com,muneebahmad5115@gmail.com,prefer_not_to_say,6,NL,[],,{}
8b9bb464-a8f6-440a-965b-5852743210e7,6434d50d-bce1-47aa-b75a-aca2a6f94f83,test,portesr,test@test.com,+31654757645,false,,81aa2573-2ca5-49ae-8808-f7affba88261,owner,2025-11-27 02:48:53.833+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-11-27 02:47:35.307759+00,2025-12-01 16:46:31.992871+00,2025-11-27 02:49:34.958+00,"Tessenderlo, 3980 Tessenderlo-Ham, Belgium",3980,Tessenderlo-Ham,51.06736380,5.09556310,50,,,,6,BE,"[""https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/portfolio/8b9bb464-a8f6-440a-965b-5852743210e7_1fed58fd-0406-4590-9d48-812750fdb278.png""]",https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/profile-pictures/8b9bb464-a8f6-440a-965b-5852743210e7_94c50706-9ccb-42fe-8d48-6b400cb737c9.png,"{""company_start"":""Hello"",""team_strengths"":""Hi"",""customer_advice"":""TEst""}"
9f36984f-4da4-4b95-ade9-50109cf63fd6,38c68e7c-52a5-4079-a8fa-144a033125d3,Britanney,Farley,reroletyca@mailinator.com,+31262562626,false,,,,,true,unverified,false,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-02 10:20:33.789317+00,2026-01-02 10:21:12.076423+00,,"Texel, Netherlands",,Texel,53.07705600,4.83189260,10,,,,5,NL,[],,{}
b5506534-a4d5-4c59-898d-9a81487013e0,d98550e4-dee5-4f40-b593-0cd4d3129abd,test,test,test@testzakelijk.nl,+31612345678,false,,59cf44af-9e87-42bf-885b-07206bfe2d0c,owner,2025-12-29 16:25:10.111+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-29 16:22:24.745997+00,2025-12-29 16:25:10.222971+00,,"Hofkamp 197, 7582 GR Losser, Netherlands",7582 GR,Losser,52.25373840,7.00033640,30,,,,6,NL,[],,{}
b6bef04e-62cb-4eae-9426-da72001413c8,1eee1091-3046-442b-aa31-5dc94e5e7f1c,Chadwick,Frazier,sazizyfoh@mailinator.com,+31324234324,false,,275ddf5f-2160-439b-8bbf-8a7211eeecac,employee,2025-12-31 12:24:31.237+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-31 09:42:15.914066+00,2025-12-31 12:24:31.331607+00,,"Textielweg, Amersfoort, Netherlands",,Amersfoort,52.16469810,5.36947100,20,,,,6,NL,[],,{}
bac7861d-8b13-4251-a759-9aad6bfd41e7,b9dbd7ab-086a-45d1-a088-2facf8912210,John,Doe,northggames@gmail.com,+31320930293,false,,071aad06-45b1-4fb9-82a3-4d30e74b692c,owner,2025-12-29 12:27:38.8+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-29 12:25:14.212055+00,2026-01-12 09:32:37.101311+00,2026-01-12 09:32:36.816+00,"Groesbeekseweg 66, 6524 DG Nijmegen, Netherlands",6524 DG,Nijmegen,51.83892035,5.86427014,50,,,,6,,[],,{}
c6422280-625e-4481-967f-cbc01ac781df,e55e81e7-78bd-47c0-b339-e63baf086964,test,test,test@emifdsfs.com,+31342343242,false,,071aad06-45b1-4fb9-82a3-4d30e74b692c,employee,2025-12-02 06:05:57.889+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-02 06:05:14.350421+00,2025-12-02 06:05:58.671224+00,,"Terneuzen, Netherlands",,Terneuzen,51.33228540,3.83242650,10,,,,6,NL,[],,{}
c7521393-78ff-4c1a-93f2-9c819b11772b,0e138be3-5fc8-4097-a45c-bad826a80307,test,test,test2@test.nl,+31612345678,false,,,,,true,unverified,false,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-02 12:05:26.896102+00,2026-01-02 12:05:53.892544+00,,"Enschede, Nederland",,Enschede,52.22153720,6.89366190,10,,,,5,NL,[],,{}
c9d96cee-ed3f-4b41-bb8a-6cbc31a8f545,aa9d248d-c0f5-4df7-a229-0fed0e94ad77,Hyacinth,Wyatt,kefaqywy@mailinator.com,+31345678907,false,,eda9ed5b-5ba9-4dc5-81f4-6a6c6cbfc447,owner,2026-01-03 06:01:07.334+00,false,pending,true,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-03 05:59:27.619537+00,2026-01-03 06:01:08.62497+00,,"Coveliersstraat 6, 2600 Antwerpen, Belgium",2600,Antwerpen,51.19904090,4.41663470,10,,,,6,BE,[],,{}
cae9dcad-e52c-4c44-8437-82a6269313ab,e2284120-ec14-42f4-a09a-fd73698f4710,John,Doe,alexmilitaru187@gmail.com,+31634453433,false,,eeba1a7a-96f6-48d7-82db-079c26710ea4,owner,2026-01-12 09:47:13.102+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-12 09:42:26.029749+00,2026-01-12 13:59:53.812181+00,,"Reimersdennenweg 11, 7559 PL Hengelo, Netherlands",7559 PL,Hengelo,52.29942100,6.81159600,10,alexmilitaru187@gmail.com,alexmilitaru187@gmail.com,,6,NL,[],,{}
da8ede40-3609-4f73-bdd4-3337203ec407,887acf15-444a-4bfa-b7ee-de53c1e7d6b0,tyr,trurt,test@email.com,+31698768697,false,,071aad06-45b1-4fb9-82a3-4d30e74b692c,owner,2025-12-01 20:19:09.631+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-01 20:02:03.669176+00,2025-12-01 20:19:10.713862+00,,"Tilburg, Netherlands",,Tilburg,51.56059600,5.09191430,30,,,,6,NL,[],,{}
dc1afec4-5bb2-4814-b52d-198fa27bb744,c68c3e8d-9e19-4fee-b04a-a2ff8b8eb989,test,test,test@test.nl,+31614376562,false,,275ddf5f-2160-439b-8bbf-8a7211eeecac,employee,2025-12-29 15:24:28.943+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-29 15:22:23.078582+00,2025-12-29 15:24:29.062294+00,,"Amsterdam, Nederland",,Amsterdam,52.36757340,4.90413890,20,,,,6,NL,[],,{}
e1eeb4ab-85d2-42f0-b36e-954316654e78,e40e4f79-fd1b-4d89-b403-dda4788d35f6,test,test,test@testtest.nl,+31614376562,false,,,,,false,suspended,false,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-07 15:26:45.698126+00,2026-01-12 09:36:34.92636+00,,België,,,50.50388700,4.46993600,50,,,,5,BE,[],,{}
e5980419-2381-43db-bda4-1d39663f8b53,a1ec4237-4796-4c58-9706-43a3653749da,test567,rte,test33@email.com,+31324246789,false,,071aad06-45b1-4fb9-82a3-4d30e74b692c,employee,2025-12-12 03:56:36.063+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-12 03:32:19.99005+00,2025-12-12 04:13:51.074231+00,,"6269 Margraten, Netherlands",6269,Margraten,50.82121050,5.80513760,10,,,,6,NL,[],,{}
ebf51964-d39e-4ffb-b974-2295a7c45a5b,81f7f10e-8c90-42f8-907c-77761f59d031,test,test,testtest@testtest2.nl,+31614376562,false,,d246284b-614c-43b1-807b-2b2ae6736117,owner,2026-01-09 15:52:41.883+00,true,verified,true,,,,,"{""sms"":false,""email"":true}",available,email,2026-01-09 15:44:12.119634+00,2026-01-12 12:37:45.59752+00,,"Enschede, Nederland",,Enschede,52.22153720,6.89366190,20,testtest@testtest2.nl,testtest@testtest2.nl,,6,NL,"[""https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/portfolio/ebf51964-d39e-4ffb-b974-2295a7c45a5b_20b4286c-f3d7-4bfd-886d-010c23c8951b.png"",""https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/portfolio/ebf51964-d39e-4ffb-b974-2295a7c45a5b_d80833f8-927d-47c2-93d9-3cdaed96528d.png"",""https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/portfolio/ebf51964-d39e-4ffb-b974-2295a7c45a5b_e525666b-2a4a-4f89-9016-bd5d7bc3c804.png""]",https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/professional-files/profile-pictures/ebf51964-d39e-4ffb-b974-2295a7c45a5b_29969f74-5824-4454-953a-cf04ddfb6151.png,"{""company_start"":""test test test"",""team_strengths"":""test test test"",""customer_advice"":""test test test""}"
f8da7747-af10-4efb-a2bd-91ee2b2f8155,4a5c8993-ff5d-4c78-960c-a1ac372bf4ab,test,test,tes@email.com,+31214562346,false,,275ddf5f-2160-439b-8bbf-8a7211eeecac,owner,2025-12-14 18:03:06.005+00,true,unverified,true,,,,,"{""sms"":false,""email"":true}",available,email,2025-12-13 02:41:26.523904+00,2025-12-14 18:03:35.685952+00,,"6269 Margraten, Netherlands",6269,Margraten,50.82121050,5.80513760,50,,,,6,,[],,{}
